OID_,Value,EuropeCoun,EUcropPlus,HydroSoils,SlopeClass,CountryName,LandUse,SlopeClass,Manure added,Synthetic N applied,Sythetic P Applied,N Manure added,P Manure calculated,NUE,PUE,lucode,load_n,eff_n,crit_len_n,proportion_subsurface_n,load_p,eff_p,crit_len_p
16,17,34,80,3,4,Norway,Permanent water (ESA),<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,No,0,0,0,0,0.64,0.95,17,0,0,200,0,0,0,200
17,18,34,32,2,4,Norway,Non improved grassland 25 LSU,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,Excreted permanent grass -divided on LSU,0,0,4.68,0.88,0.69,0.75,18,1.450637381,0.19,200,0.9998,0.220729973,0.19,200
18,19,34,32,2,5,Norway,Non improved grassland 25 LSU,> mean + 3STD = 26.558-89.281 degrees,Excreted permanent grass -divided on LSU,0,0,4.68,0.88,0.69,0.75,19,1.450637381,0.19,200,0.9997,0.220729973,0.19,200
19,20,34,10,3,2,Norway,Tree Cover (ESA),<= mean = 2.531- 5.06 degrees,No,0,0,0,0,0.59,0.69,20,0,0.79,200,0.9914,0,0.79,200
20,21,34,10,3,3,Norway,Tree Cover (ESA),<= mean + 1 STD = 5.061-12.225 degrees,No,0,0,0,0,0.59,0.69,21,0,0.79,200,0.9914,0,0.79,200
21,22,34,10,3,4,Norway,Tree Cover (ESA),<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,No,0,0,0,0,0.59,0.69,22,0,0.79,200,0.9907,0,0.79,200
22,23,34,10,3,5,Norway,Tree Cover (ESA),> mean + 3STD = 26.558-89.281 degrees,No,0,0,0,0,0.59,0.69,23,0,0.79,200,0.9883,0,0.79,200
23,24,34,32,3,5,Norway,Non improved grassland 25 LSU,> mean + 3STD = 26.558-89.281 degrees,Excreted permanent grass -divided on LSU,0,0,4.68,0.88,0.62,0.68,24,1.778200661,0.19,200,0.9937,0.282534365,0.19,200
24,25,34,80,3,5,Norway,Permanent water (ESA),> mean + 3STD = 26.558-89.281 degrees,No,0,0,0,0,0.64,0.95,25,0,0,200,0,0,0,200
25,26,34,60,3,3,Norway,Bare/sparse vegetation (ESA),<= mean + 1 STD = 5.061-12.225 degrees,No,0,0,0,0,0.6,0.71,26,0,0.05,200,0.9608,0,0.05,200
26,27,34,10,3,1,Norway,Tree Cover (ESA),<= 1/2 STD = < 2.53 degrees,No,0,0,0,0,0.59,0.69,27,0,0.79,200,0.9918,0,0.79,200
27,28,34,32,2,2,Norway,Non improved grassland 25 LSU,<= mean = 2.531- 5.06 degrees,Excreted permanent grass -divided on LSU,0,0,4.68,0.88,0.69,0.75,28,1.450637381,0.19,200,0.9999,0.220729973,0.19,200
28,29,34,32,3,2,Norway,Non improved grassland 25 LSU,<= mean = 2.531- 5.06 degrees,Excreted permanent grass -divided on LSU,0,0,4.68,0.88,0.62,0.68,29,1.778200661,0.19,200,0.9982,0.282534365,0.19,200
29,30,34,32,3,3,Norway,Non improved grassland 25 LSU,<= mean + 1 STD = 5.061-12.225 degrees,Excreted permanent grass -divided on LSU,0,0,4.68,0.88,0.62,0.68,30,1.778200661,0.19,200,0.9976,0.282534365,0.19,200
30,31,34,32,3,4,Norway,Non improved grassland 25 LSU,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,Excreted permanent grass -divided on LSU,0,0,4.68,0.88,0.62,0.68,31,1.778200661,0.19,200,0.996,0.282534365,0.19,200
31,32,34,32,2,3,Norway,Non improved grassland 25 LSU,<= mean + 1 STD = 5.061-12.225 degrees,Excreted permanent grass -divided on LSU,0,0,4.68,0.88,0.69,0.75,32,1.450637381,0.19,200,0.9999,0.220729973,0.19,200
32,33,34,90,3,1,Norway,Herbaceous Wetland (ESA),<= 1/2 STD = < 2.53 degrees,No,0,0,0,0,0.65,1.03,33,0,0.4,200,0.9917,0,0.4,200
33,34,34,60,3,4,Norway,Bare/sparse vegetation (ESA),<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,No,0,0,0,0,0.6,0.71,34,0,0.05,200,0.9178,0,0.05,200
34,35,34,60,2,4,Norway,Bare/sparse vegetation (ESA),<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,No,0,0,0,0,0.57,0.83,35,0,0.05,200,0.9518,0,0.05,200
35,36,34,80,2,5,Norway,Permanent water (ESA),> mean + 3STD = 26.558-89.281 degrees,No,0,0,0,0,0.56,0.81,36,0,0,200,0,0,0,200
36,37,34,60,3,2,Norway,Bare/sparse vegetation (ESA),<= mean = 2.531- 5.06 degrees,No,0,0,0,0,0.6,0.71,37,0,0.05,200,0.9679,0,0.05,200
37,38,34,90,2,1,Norway,Herbaceous Wetland (ESA),<= 1/2 STD = < 2.53 degrees,No,0,0,0,0,0.61,0.92,38,0,0.4,200,0.9987,0,0.4,200
38,39,34,32,3,1,Norway,Non improved grassland 25 LSU,<= 1/2 STD = < 2.53 degrees,Excreted permanent grass -divided on LSU,0,0,4.68,0.88,0.62,0.68,39,1.778200661,0.19,200,0.9984,0.282534365,0.19,200
39,40,34,60,3,5,Norway,Bare/sparse vegetation (ESA),> mean + 3STD = 26.558-89.281 degrees,No,0,0,0,0,0.6,0.71,40,0,0.05,200,0.9368,0,0.05,200
40,41,34,90,3,2,Norway,Herbaceous Wetland (ESA),<= mean = 2.531- 5.06 degrees,No,0,0,0,0,0.65,1.03,41,0,0.4,200,0.9921,0,0.4,200
41,42,34,32,2,1,Norway,Non improved grassland 25 LSU,<= 1/2 STD = < 2.53 degrees,Excreted permanent grass -divided on LSU,0,0,4.68,0.88,0.69,0.75,42,1.450637381,0.19,200,0.9999,0.220729973,0.19,200
42,43,34,90,2,2,Norway,Herbaceous Wetland (ESA),<= mean = 2.531- 5.06 degrees,No,0,0,0,0,0.61,0.92,43,0,0.4,200,0.9987,0,0.4,200
43,44,34,90,2,3,Norway,Herbaceous Wetland (ESA),<= mean + 1 STD = 5.061-12.225 degrees,No,0,0,0,0,0.61,0.92,44,0,0.4,200,0.9981,0,0.4,200
44,45,34,60,2,5,Norway,Bare/sparse vegetation (ESA),> mean + 3STD = 26.558-89.281 degrees,No,0,0,0,0,0.57,0.83,45,0,0.05,200,0.9543,0,0.05,200
45,46,34,90,2,4,Norway,Herbaceous Wetland (ESA),<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,No,0,0,0,0,0.61,0.92,46,0,0.4,200,0.9978,0,0.4,200
46,47,34,90,2,5,Norway,Herbaceous Wetland (ESA),> mean + 3STD = 26.558-89.281 degrees,No,0,0,0,0,0.61,0.92,47,0,0.4,200,0.9972,0,0.4,200
47,48,34,20,2,5,Norway,Shrubland (ESA),> mean + 3STD = 26.558-89.281 degrees,No,0,0,0,0,0.63,0.92,48,0,0.62,200,0.9982,0,0.62,200
48,49,34,50,2,1,Norway,Built-up (ESA),<= 1/2 STD = < 2.53 degrees,No,0,0,0,0,0.54,0.81,49,0,0.13,200,0.9895,0,0.13,200
49,50,34,50,3,2,Norway,Built-up (ESA),<= mean = 2.531- 5.06 degrees,No,0,0,0,0,0.64,0.92,50,0,0.13,200,0.9551,0,0.13,200
50,51,34,50,3,1,Norway,Built-up (ESA),<= 1/2 STD = < 2.53 degrees,No,0,0,0,0,0.64,0.92,51,0,0.13,200,0.9582,0,0.13,200
51,52,34,90,3,3,Norway,Herbaceous Wetland (ESA),<= mean + 1 STD = 5.061-12.225 degrees,No,0,0,0,0,0.65,1.03,52,0,0.4,200,0.9854,0,0.4,200
52,53,34,90,3,4,Norway,Herbaceous Wetland (ESA),<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,No,0,0,0,0,0.65,1.03,53,0,0.4,200,0.9853,0,0.4,200
53,54,34,90,3,5,Norway,Herbaceous Wetland (ESA),> mean + 3STD = 26.558-89.281 degrees,No,0,0,0,0,0.65,1.03,54,0,0.4,200,0.9726,0,0.4,200
54,55,34,31,2,2,Norway,Non improved grassland 0 LSU,<= mean = 2.531- 5.06 degrees,Excreted permanent grass -divided on LSU,0,0,0,0,0.6,0.82,55,0,0.09,200,0.9999,0,0.09,200
55,56,34,31,2,1,Norway,Non improved grassland 0 LSU,<= 1/2 STD = < 2.53 degrees,Excreted permanent grass -divided on LSU,0,0,0,0,0.6,0.82,56,0,0.09,200,0.9999,0,0.09,200
56,57,34,31,2,3,Norway,Non improved grassland 0 LSU,<= mean + 1 STD = 5.061-12.225 degrees,Excreted permanent grass -divided on LSU,0,0,0,0,0.6,0.82,57,0,0.09,200,0.9999,0,0.09,200
57,58,34,31,2,4,Norway,Non improved grassland 0 LSU,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,Excreted permanent grass -divided on LSU,0,0,0,0,0.6,0.82,58,0,0.09,200,0.9999,0,0.09,200
58,59,34,31,2,5,Norway,Non improved grassland 0 LSU,> mean + 3STD = 26.558-89.281 degrees,Excreted permanent grass -divided on LSU,0,0,0,0,0.6,0.82,59,0,0.09,200,0.9998,0,0.09,200
59,60,34,31,3,2,Norway,Non improved grassland 0 LSU,<= mean = 2.531- 5.06 degrees,Excreted permanent grass -divided on LSU,0,0,0,0,0.59,0.73,60,0,0.09,200,0.9986,0,0.09,200
60,61,34,31,3,3,Norway,Non improved grassland 0 LSU,<= mean + 1 STD = 5.061-12.225 degrees,Excreted permanent grass -divided on LSU,0,0,0,0,0.59,0.73,61,0,0.09,200,0.9984,0,0.09,200
61,62,34,31,3,4,Norway,Non improved grassland 0 LSU,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,Excreted permanent grass -divided on LSU,0,0,0,0,0.59,0.73,62,0,0.09,200,0.9982,0,0.09,200
62,63,34,31,3,5,Norway,Non improved grassland 0 LSU,> mean + 3STD = 26.558-89.281 degrees,Excreted permanent grass -divided on LSU,0,0,0,0,0.59,0.73,63,0,0.09,200,0.9975,0,0.09,200
63,64,34,31,3,1,Norway,Non improved grassland 0 LSU,<= 1/2 STD = < 2.53 degrees,Excreted permanent grass -divided on LSU,0,0,0,0,0.59,0.73,64,0,0.09,200,0.999,0,0.09,200
64,65,34,70,2,4,Norway,Snow & Ice (ESA),<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,No,0,0,0,0,0.12,0.24,65,0,0.05,200,0.9454,0,0.05,200
65,66,34,70,2,3,Norway,Snow & Ice (ESA),<= mean + 1 STD = 5.061-12.225 degrees,No,0,0,0,0,0.12,0.24,66,0,0.05,200,0.9365,0,0.05,200
66,67,34,20,3,5,Norway,Shrubland (ESA),> mean + 3STD = 26.558-89.281 degrees,No,0,0,0,0,0.62,0.63,67,0,0.62,200,0.9919,0,0.62,200
67,68,34,20,2,4,Norway,Shrubland (ESA),<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,No,0,0,0,0,0.63,0.92,68,0,0.62,200,0.9993,0,0.62,200
68,69,34,100,2,4,Norway,Moss & Lichen (ESA),<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,No,0,0,0,0,0,0.53,69,0,0.05,200,0.9965,0,0.05,200
69,70,34,34,3,1,Norway,Non Improved grassland 250 LSU,<= 1/2 STD = < 2.53 degrees,Excreted permanent grass -divided on LSU,0,0,100.07,18.88,0.75,0.86,70,25.01673247,0.9,200,0.9957,2.643277393,0.9,200
70,71,34,20,3,4,Norway,Shrubland (ESA),<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,No,0,0,0,0,0.62,0.63,71,0,0.62,200,0.9913,0,0.62,200
71,72,34,34,3,2,Norway,Non Improved grassland 250 LSU,<= mean = 2.531- 5.06 degrees,Excreted permanent grass -divided on LSU,0,0,100.07,18.88,0.75,0.86,72,25.01673247,0.9,200,0.9941,2.643277393,0.9,200
72,73,34,34,3,3,Norway,Non Improved grassland 250 LSU,<= mean + 1 STD = 5.061-12.225 degrees,Excreted permanent grass -divided on LSU,0,0,100.07,18.88,0.75,0.86,73,25.01673247,0.9,200,0.9944,2.643277393,0.9,200
73,74,34,34,3,4,Norway,Non Improved grassland 250 LSU,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,Excreted permanent grass -divided on LSU,0,0,100.07,18.88,0.75,0.86,74,25.01673247,0.9,200,1,2.643277393,0.9,200
74,75,34,34,2,1,Norway,Non Improved grassland 250 LSU,<= 1/2 STD = < 2.53 degrees,Excreted permanent grass -divided on LSU,0,0,100.07,18.88,0.66,0.82,75,34.02275615,0.9,200,0.9998,3.398499505,0.9,200
75,76,34,34,2,2,Norway,Non Improved grassland 250 LSU,<= mean = 2.531- 5.06 degrees,Excreted permanent grass -divided on LSU,0,0,100.07,18.88,0.66,0.82,76,34.02275615,0.9,200,0.9998,3.398499505,0.9,200
76,77,34,34,2,3,Norway,Non Improved grassland 250 LSU,<= mean + 1 STD = 5.061-12.225 degrees,Excreted permanent grass -divided on LSU,0,0,100.07,18.88,0.66,0.82,77,34.02275615,0.9,200,0.9998,3.398499505,0.9,200
77,78,34,20,3,1,Norway,Shrubland (ESA),<= 1/2 STD = < 2.53 degrees,No,0,0,0,0,0.62,0.63,78,0,0.62,200,0.9953,0,0.62,200
78,79,34,34,2,4,Norway,Non Improved grassland 250 LSU,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,Excreted permanent grass -divided on LSU,0,0,100.07,18.88,0.66,0.82,79,34.02275615,0.9,200,1,3.398499505,0.9,200
79,80,34,34,2,5,Norway,Non Improved grassland 250 LSU,> mean + 3STD = 26.558-89.281 degrees,Excreted permanent grass -divided on LSU,0,0,100.07,18.88,0.66,0.82,80,34.02275615,0.9,200,1,3.398499505,0.9,200
80,81,34,34,3,5,Norway,Non Improved grassland 250 LSU,> mean + 3STD = 26.558-89.281 degrees,Excreted permanent grass -divided on LSU,0,0,100.07,18.88,0.75,0.86,81,25.01673247,0.9,200,1,2.643277393,0.9,200
81,82,34,50,3,3,Norway,Built-up (ESA),<= mean + 1 STD = 5.061-12.225 degrees,No,0,0,0,0,0.64,0.92,82,0,0.13,200,0.9494,0,0.13,200
82,83,34,33,3,1,Norway,Non Improved grassland 100 LSU,<= 1/2 STD = < 2.53 degrees,Excreted permanent grass -divided on LSU,0,0,31.95,6.03,0.65,0.79,83,11.18378573,0.82,200,0.9945,1.266088951,0.82,200
83,84,34,33,3,3,Norway,Non Improved grassland 100 LSU,<= mean + 1 STD = 5.061-12.225 degrees,Excreted permanent grass -divided on LSU,0,0,31.95,6.03,0.65,0.79,84,11.18378573,0.82,200,0.9863,1.266088951,0.82,200
84,85,34,33,3,2,Norway,Non Improved grassland 100 LSU,<= mean = 2.531- 5.06 degrees,Excreted permanent grass -divided on LSU,0,0,31.95,6.03,0.65,0.79,85,11.18378573,0.82,200,0.9907,1.266088951,0.82,200
85,86,34,33,2,2,Norway,Non Improved grassland 100 LSU,<= mean = 2.531- 5.06 degrees,Excreted permanent grass -divided on LSU,0,0,31.95,6.03,0.65,0.84,86,11.18378573,0.82,200,0.999,0.964639201,0.82,200
86,87,34,33,2,3,Norway,Non Improved grassland 100 LSU,<= mean + 1 STD = 5.061-12.225 degrees,Excreted permanent grass -divided on LSU,0,0,31.95,6.03,0.65,0.84,87,11.18378573,0.82,200,0.998,0.964639201,0.82,200
87,88,34,33,2,4,Norway,Non Improved grassland 100 LSU,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,Excreted permanent grass -divided on LSU,0,0,31.95,6.03,0.65,0.84,88,11.18378573,0.82,200,0.9968,0.964639201,0.82,200
88,89,34,33,3,4,Norway,Non Improved grassland 100 LSU,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,Excreted permanent grass -divided on LSU,0,0,31.95,6.03,0.65,0.79,89,11.18378573,0.82,200,0.9811,1.266088951,0.82,200
89,90,34,33,2,1,Norway,Non Improved grassland 100 LSU,<= 1/2 STD = < 2.53 degrees,Excreted permanent grass -divided on LSU,0,0,31.95,6.03,0.65,0.84,90,11.18378573,0.82,200,0.9995,0.964639201,0.82,200
90,91,34,33,3,5,Norway,Non Improved grassland 100 LSU,> mean + 3STD = 26.558-89.281 degrees,Excreted permanent grass -divided on LSU,0,0,31.95,6.03,0.65,0.79,91,11.18378573,0.82,200,0.9741,1.266088951,0.82,200
91,92,34,33,2,5,Norway,Non Improved grassland 100 LSU,> mean + 3STD = 26.558-89.281 degrees,Excreted permanent grass -divided on LSU,0,0,31.95,6.03,0.65,0.84,92,11.18378573,0.82,200,0.9961,0.964639201,0.82,200
92,93,34,50,2,2,Norway,Built-up (ESA),<= mean = 2.531- 5.06 degrees,No,0,0,0,0,0.54,0.81,93,0,0.13,200,0.9867,0,0.13,200
93,94,34,50,2,3,Norway,Built-up (ESA),<= mean + 1 STD = 5.061-12.225 degrees,No,0,0,0,0,0.54,0.81,94,0,0.13,200,0.9838,0,0.13,200
94,95,34,50,2,4,Norway,Built-up (ESA),<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,No,0,0,0,0,0.54,0.81,95,0,0.13,200,0.9827,0,0.13,200
95,96,34,100,3,4,Norway,Moss & Lichen (ESA),<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,No,0,0,0,0,0,0.38,96,0,0.05,200,0.9841,0,0.05,200
96,97,34,50,2,5,Norway,Built-up (ESA),> mean + 3STD = 26.558-89.281 degrees,No,0,0,0,0,0.54,0.81,97,0,0.13,200,0.9836,0,0.13,200
97,98,34,50,3,4,Norway,Built-up (ESA),<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,No,0,0,0,0,0.64,0.92,98,0,0.13,200,0.9351,0,0.13,200
98,99,34,100,3,2,Norway,Moss & Lichen (ESA),<= mean = 2.531- 5.06 degrees,No,0,0,0,0,0,0.38,99,0,0.05,200,0.9959,0,0.05,200
99,100,34,100,3,1,Norway,Moss & Lichen (ESA),<= 1/2 STD = < 2.53 degrees,No,0,0,0,0,0,0.38,100,0,0.05,200,0.996,0,0.05,200
100,101,34,100,2,3,Norway,Moss & Lichen (ESA),<= mean + 1 STD = 5.061-12.225 degrees,No,0,0,0,0,0,0.53,101,0,0.05,200,0.9971,0,0.05,200
101,102,34,100,2,1,Norway,Moss & Lichen (ESA),<= 1/2 STD = < 2.53 degrees,No,0,0,0,0,0,0.53,102,0,0.05,200,0.9986,0,0.05,200
102,103,34,100,2,2,Norway,Moss & Lichen (ESA),<= mean = 2.531- 5.06 degrees,No,0,0,0,0,0,0.53,103,0,0.05,200,0.9978,0,0.05,200
103,104,34,100,2,5,Norway,Moss & Lichen (ESA),> mean + 3STD = 26.558-89.281 degrees,No,0,0,0,0,0,0.53,104,0,0.05,200,0.9958,0,0.05,200
104,105,34,100,3,5,Norway,Moss & Lichen (ESA),> mean + 3STD = 26.558-89.281 degrees,No,0,0,0,0,0,0.38,105,0,0.05,200,0.9841,0,0.05,200
105,106,34,100,3,3,Norway,Moss & Lichen (ESA),<= mean + 1 STD = 5.061-12.225 degrees,No,0,0,0,0,0,0.38,106,0,0.05,200,0.9933,0,0.05,200
106,107,34,20,2,3,Norway,Shrubland (ESA),<= mean + 1 STD = 5.061-12.225 degrees,No,0,0,0,0,0.63,0.92,107,0,0.62,200,0.9997,0,0.62,200
107,108,34,70,2,2,Norway,Snow & Ice (ESA),<= mean = 2.531- 5.06 degrees,No,0,0,0,0,0.12,0.24,108,0,0.05,200,0.9301,0,0.05,200
108,109,34,70,3,4,Norway,Snow & Ice (ESA),<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,No,0,0,0,0,0.12,0.24,109,0,0.05,200,0.8929,0,0.05,200
109,110,34,70,3,5,Norway,Snow & Ice (ESA),> mean + 3STD = 26.558-89.281 degrees,No,0,0,0,0,0.12,0.24,110,0,0.05,200,0.93,0,0.05,200
110,111,34,70,2,5,Norway,Snow & Ice (ESA),> mean + 3STD = 26.558-89.281 degrees,No,0,0,0,0,0.12,0.24,111,0,0.05,200,0.9609,0,0.05,200
111,112,34,20,2,1,Norway,Shrubland (ESA),<= 1/2 STD = < 2.53 degrees,No,0,0,0,0,0.63,0.92,112,0,0.62,200,0.9998,0,0.62,200
112,113,34,70,2,1,Norway,Snow & Ice (ESA),<= 1/2 STD = < 2.53 degrees,No,0,0,0,0,0.12,0.24,113,0,0.05,200,0.931,0,0.05,200
113,114,34,20,3,3,Norway,Shrubland (ESA),<= mean + 1 STD = 5.061-12.225 degrees,No,0,0,0,0,0.62,0.63,114,0,0.62,200,0.995,0,0.62,200
114,115,34,70,3,3,Norway,Snow & Ice (ESA),<= mean + 1 STD = 5.061-12.225 degrees,No,0,0,0,0,0.12,0.24,115,0,0.05,200,0.8568,0,0.05,200
115,116,34,70,3,2,Norway,Snow & Ice (ESA),<= mean = 2.531- 5.06 degrees,No,0,0,0,0,0.12,0.24,116,0,0.05,200,0.8543,0,0.05,200
116,117,34,50,3,5,Norway,Built-up (ESA),> mean + 3STD = 26.558-89.281 degrees,No,0,0,0,0,0.64,0.92,117,0,0.13,200,0.9608,0,0.13,200
117,118,34,20,3,2,Norway,Shrubland (ESA),<= mean = 2.531- 5.06 degrees,No,0,0,0,0,0.62,0.63,118,0,0.62,200,0.9954,0,0.62,200
118,119,34,70,3,1,Norway,Snow & Ice (ESA),<= 1/2 STD = < 2.53 degrees,No,0,0,0,0,0.12,0.24,119,0,0.05,200,0.8516,0,0.05,200
119,120,34,20,2,2,Norway,Shrubland (ESA),<= mean = 2.531- 5.06 degrees,No,0,0,0,0,0.63,0.92,120,0,0.62,200,0.9998,0,0.62,200
120,121,13,32,2,1,Finland,Non improved grassland 25 LSU,<= 1/2 STD = < 2.53 degrees,Excreted permanent grass -divided on LSU,0,0,0.27,0.05,0.69,0.75,121,0.085028939,0.19,200,1,0.012938061,0.19,200
121,122,13,90,2,1,Finland,Herbaceous Wetland (ESA),<= 1/2 STD = < 2.53 degrees,No,0,0,0,0,0.61,0.92,122,0,0.4,200,0.9988,0,0.4,200
122,123,13,32,2,2,Finland,Non improved grassland 25 LSU,<= mean = 2.531- 5.06 degrees,Excreted permanent grass -divided on LSU,0,0,0.27,0.05,0.69,0.75,123,0.085028939,0.19,200,1,0.012938061,0.19,200
123,124,13,32,2,3,Finland,Non improved grassland 25 LSU,<= mean + 1 STD = 5.061-12.225 degrees,Excreted permanent grass -divided on LSU,0,0,0.27,0.05,0.69,0.75,124,0.085028939,0.19,200,1,0.012938061,0.19,200
124,125,13,60,2,3,Finland,Bare/sparse vegetation (ESA),<= mean + 1 STD = 5.061-12.225 degrees,No,0,0,0,0,0.57,0.83,125,0,0.05,200,0.9859,0,0.05,200
125,126,13,10,2,1,Finland,Tree Cover (ESA),<= 1/2 STD = < 2.53 degrees,No,0,0,0,0,0.58,0.84,126,0,0.79,200,1,0,0.79,200
126,127,13,10,2,3,Finland,Tree Cover (ESA),<= mean + 1 STD = 5.061-12.225 degrees,No,0,0,0,0,0.58,0.84,127,0,0.79,200,1,0,0.79,200
127,128,13,10,2,2,Finland,Tree Cover (ESA),<= mean = 2.531- 5.06 degrees,No,0,0,0,0,0.58,0.84,128,0,0.79,200,1,0,0.79,200
128,129,13,50,2,3,Finland,Built-up (ESA),<= mean + 1 STD = 5.061-12.225 degrees,No,0,0,0,0,0.54,0.81,129,0,0.13,200,0.9959,0,0.13,200
129,130,13,80,2,3,Finland,Permanent water (ESA),<= mean + 1 STD = 5.061-12.225 degrees,No,0,0,0,0,0.56,0.81,130,0,0,200,0,0,0,200
130,131,13,90,2,3,Finland,Herbaceous Wetland (ESA),<= mean + 1 STD = 5.061-12.225 degrees,No,0,0,0,0,0.61,0.92,131,0,0.4,200,0.9992,0,0.4,200
131,132,13,80,2,2,Finland,Permanent water (ESA),<= mean = 2.531- 5.06 degrees,No,0,0,0,0,0.56,0.81,132,0,0,200,0,0,0,200
132,133,13,80,2,1,Finland,Permanent water (ESA),<= 1/2 STD = < 2.53 degrees,No,0,0,0,0,0.56,0.81,133,0,0,200,0,0,0,200
133,134,13,50,2,2,Finland,Built-up (ESA),<= mean = 2.531- 5.06 degrees,No,0,0,0,0,0.54,0.81,134,0,0.13,200,0.9946,0,0.13,200
134,135,13,90,2,2,Finland,Herbaceous Wetland (ESA),<= mean = 2.531- 5.06 degrees,No,0,0,0,0,0.61,0.92,135,0,0.4,200,0.9995,0,0.4,200
135,136,13,60,2,2,Finland,Bare/sparse vegetation (ESA),<= mean = 2.531- 5.06 degrees,No,0,0,0,0,0.57,0.83,136,0,0.05,200,0.9861,0,0.05,200
